enhancer_start,enhancer_end,enhancer_copies,enhancer_max,enhancer_mean,enhancer_auc,promoter_start,promoter_end,promoter_mean,promoter_max,loop_span_start,loop_span_end,loop_span_mean,anchor1_mean,anchor1_max,anchor1_orientation,anchor2_mean,anchor2_max,anchor2_orientation,global_mean,global_max,global_std,construct,description
400000,410010,10,0.25390625,0.012552941218018532,125.64814758300781,450018,450319,0.004902648739516735,0.173828125,350000,450018,0.0049816626124084,0.0058563039638102055,0.1689453125,forward,0.007623264100402594,0.173828125,reverse,0.004368198569864035,0.265625,0.005808964837342501,LoopDeleted_10x,Spacer between right anchor and promoter removed so promoter abuts the looped enhancer block.
400000,410010,10,0.25390625,0.0125713050365448,125.83204650878906,500000,500301,0.004933325573801994,0.193359375,350000,450018,0.004995347000658512,0.005863555707037449,0.1689453125,forward,0.006720376200973988,0.24609375,reverse,0.004373573698103428,0.25390625,0.005827284883707762,LoopIntact_10x,10× HS2 array with convergent CTCF anchors at 350/450 kb; promoter at 500 kb.
400000,410010,10,0.25,0.012567742727696896,125.79639434814453,500000,500301,0.00493336096405983,0.193359375,350000,450018,0.004991993308067322,0.005871398840099573,0.171875,forward,0.006339302286505699,0.1689453125,forward,0.004373347852379084,0.25390625,0.005819191690534353,LoopInverted_10x,Right CTCF anchor flipped to disrupt loop polarity while keeping enhancer position constant.
800000,810010,10,0.26953125,0.01294302474707365,129.55075073242188,500000,500301,0.004852200858294964,0.171875,350000,450018,0.0041699777357280254,0.005613616202026606,0.1591796875,forward,0.0041205137968063354,0.06103515625,reverse,0.004419601522386074,0.26953125,0.005883054342120886,LoopRelocated_10x,Enhancer block moved to 800 kb; anchors remain around an empty loop near the promoter.
