distance_kb,n_replicates,enh_max_mean,enh_max_sem,enh_max_std,enh_max_cv,enh_mean_mean,enh_mean_sem,enh_mean_std,enh_mean_cv,enh_auc_mean,enh_auc_sem,enh_auc_std,enh_auc_cv,prom_max_mean,prom_max_sem,prom_max_std,prom_max_cv,prom_mean_mean,prom_mean_sem,prom_mean_std,prom_mean_cv,prom_auc_mean,prom_auc_sem,prom_auc_std,prom_auc_cv,spacer_mean_mean,spacer_mean_sem,spacer_mean_std,spacer_mean_cv,global_mean_mean,global_mean_sem,global_mean_std,global_mean_cv,global_max_mean,global_max_sem,global_max_std,global_max_cv
1,3,0.2630208333333333,0.005675649666068586,0.008026580733032522,3.051690100479692,0.009745078471799692,0.00019150169949484156,0.0002708243006431018,2.7790879409212885,19.49746831258138,0.38297373312850896,0.5416066474229917,2.777830632880179,0.1396484375,0.005011329530709848,0.007087090187850665,5.0749512953560005,0.005595291809489329,0.0001647663539782265,0.0002330148124187741,4.164480072756757,5.591654300689697,0.164304953583155,0.23236229372237965,4.155519658890914,0.0031583530362695456,0.00012667937469358135,0.00017915168976460576,5.672313630151011,0.003996795043349266,4.137741239967977e-06,5.851649779153179e-06,0.1464085527450406,0.265625,0.005966895436140417,0.008438464451051902,3.176833675690128
5,3,0.2552083333333333,0.005208333333333334,0.00736569563735987,2.886150127292031,0.009630954203506311,0.00025740542764959645,0.0003640262468105057,3.779752650863773,19.269570032755535,0.5147477171183849,0.7279632027494091,3.777786434839879,0.142578125,0.006278418464188122,0.0088790245423085,6.227480226934181,0.005807093655069669,0.00016524210344686055,0.00023368762376960812,4.024175218279729,5.803298155466716,0.16465597310833616,0.23285871029554858,4.012523638410605,0.0031658423443635306,5.1585565515571297e-05,7.295300637480676e-05,2.3043790068918746,0.00398505028958122,1.3058847067559597e-05,1.84679986318989e-05,0.463432009382237,0.26171875,0.005966895436140417,0.008438464451051902,3.224249103685503
10,3,0.283203125,0.005859375000000001,0.008286407592029853,2.925959094565024,0.010201312291125456,0.00018744046702180896,0.00026508085059978907,2.5984975563427644,20.409496307373047,0.3742076542325584,0.5292095397595058,2.592957375279888,0.1455078125,0.0069283192232398325,0.009798123009955997,6.733743598788551,0.005940515082329512,0.00019176742755661766,0.00027120009687196865,4.56526232344183,5.93665091196696,0.19104561547038482,0.2701793004301334,4.551039035923645,0.00368387329702576,0.00012694181829895907,0.00017952284107068905,4.873208891728985,0.003973174219330152,6.088026875541252e-06,8.609770175482338e-06,0.21669752445272542,0.283203125,0.005859375000000001,0.008286407592029853,2.925959094565024
25,3,0.2864583333333333,0.005084797966085062,0.007190990245564624,2.5103093220880144,0.010564536166687807,0.0005018768243867968,0.0007097610116885482,6.718335764958362,21.133399327596027,1.0015378633761354,1.4163884296167022,6.702132523314315,0.1484375,0.007042092334890605,0.009959022487485907,6.70923620209577,0.0060222161312898,0.00018413746580562225,0.00026040970148332306,4.324150708080784,6.018308003743489,0.18338678851443144,0.25934808347715543,4.30931888690038,0.003898410825058818,8.091563035279518e-05,0.00011443198185289101,2.935349479262861,0.003965393640100956,1.0133844670608483e-05,1.4331420572156827e-05,0.3614123053819181,0.2864583333333333,0.005084797966085062,0.007190990245564624,2.5103093220880144
50,3,0.2708333333333333,0.002604166666666667,0.003682847818679935,1.359820733051053,0.009712485906978449,0.0002567844753118073,0.0003631480875928171,3.7389818741656464,19.432667414347332,0.5138299345968315,0.7266652622601195,3.73940049899488,0.14615885416666666,0.006726555442634057,0.009512785935027641,6.508525254433166,0.005959486899276574,0.00018957112435453378,0.0002680940550964982,4.49860968951945,5.955622673034668,0.18885170131530352,0.2670766372773351,4.4844452367101875,0.003995457974572976,7.489722020344082e-05,0.00010592066459575018,2.6510268727597044,0.00395364345361789,5.388414291748939e-06,7.6203685710763655e-06,0.19274293851923185,0.2708333333333333,0.002604166666666667,0.003682847818679935,1.359820733051053
100,3,0.26171875,0.006765823467065927,0.009568319307746789,3.6559548399748927,0.009334761959811052,6.346371788376021e-05,8.975125054983362e-05,0.961473371642894,18.677719751993816,0.12686347325448527,0.17941204444624947,0.9605671721629593,0.1455078125,0.0069283192232398325,0.009798123009955997,6.733743598788551,0.005968459881842136,0.00019261791137673305,0.00027240286262495474,4.564039434254837,5.964595476786296,0.1919037643039092,0.2713929061490382,4.550063909703124,0.003976864196980993,7.130604758317534e-05,0.00010084197957134782,2.53571594544016,0.003949213928232591,8.44707887059687e-06,1.1945973501233298e-05,0.3024899060502284,0.2669270833333333,0.0034449886862820195,0.0048719497223619025,1.825198725255581
200,3,0.265625,0.00813150781041458,0.01149968862803105,4.329294542317571,0.009939529001712799,0.0003588926956276374,0.000507550917593244,5.106388014017382,19.879624048868816,0.7192043959752855,1.0171086109065985,5.1163372526880035,0.1455078125,0.0069283192232398325,0.009798123009955997,6.733743598788551,0.0059338777015606565,0.0001826068882743576,0.000258245137980345,4.352046856517189,5.9300336837768555,0.18184903172293734,0.25717336696699317,4.336794370503452,0.003961824191113313,3.797327835917493e-05,5.370232526331393e-05,1.3554949102429261,0.003935696401943763,1.3729543155203594e-05,1.9416506135275616e-05,0.49334359544822076,0.2682291666666667,0.006510416666666667,0.009207119546699836,3.4325571902259577
500,3,0.2734375,0.004510548978043952,0.00637887953849786,2.3328473740792175,0.010194366797804832,0.0003090562121001678,0.0004370714866877131,4.2873823882992745,20.3964417775472,0.6186775082311486,0.8749421228756825,4.289680192350196,0.14127604166666666,0.0066073512793569135,0.009344205790629768,6.614147508943467,0.005799606752892335,0.00018589864937718537,0.0002629003911760562,4.533072712989456,5.795861879984538,0.1852334717983584,0.26195968802269265,4.519771061614593,0.0038971637841314077,4.017392565631125e-06,5.68145105169238e-06,0.14578425148119997,0.003888626660530766,1.0979537196262567e-05,1.552741041153439e-05,0.39930319279904913,0.2734375,0.004510548978043952,0.00637887953849786,2.3328473740792175
